viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes,modis_ndvi,modis_lc_type1,modis_lc_name
2022-10-23,LC90710162022296LGN01,2381,5650,63.95492,-151.90925,0.0785,0.244,0.3113,0.1928,272.5274,264.8403,76.045,-169.227,13.264,-105.683,,,,,,,,,,Landsat null - outside swath. Classify manually.,,,
2022-10-23,LC90710162022296LGN01,2402,5774,63.88398,-151.49033,0.0757,0.2193,0.2626,0.1504,271.0206,265.451,76.008,-168.814,14.509,-104.948,,,,,,,,,,Landsat null - outside swath. Classify manually.,,,
2022-10-23,LC90710162022296LGN01,2460,5353,63.68803,-152.91263,0.1985,0.1708,0.1547,0.0293,269.0381,268.3328,75.698,-170.242,9.002,-110.731,0.2986,0.2286,0.2203,0.2999,0.0767,269.2152,-0.135,0.4974,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=269.22K NDSI=0.4974.,0.0416,7,Open Shrublands
2022-10-23,LC90710162022296LGN01,2494,6200,63.57316,-150.05114,0.0771,0.1486,0.199,0.0248,263.4548,263.4468,75.83,-167.389,18.647,-105.547,,,,,,,,,,Landsat null - outside swath. Classify manually.,,,
2022-10-23,LC90710162022296LGN01,2521,5956,63.48195,-150.87546,0.7218,0.0656,0.033,0.0042,274.9636,274.3348,75.664,-168.214,15.602,-106.69,,,,,,,,,,Landsat null - outside swath. Classify manually.,,,
2022-10-23,LC90710162022296LGN01,2545,6027,63.40087,-150.6356,0.1539,0.6339,0.7175,0.0401,258.5897,256.0688,75.607,-167.976,16.239,-106.453,,,,,,,,,,Landsat null - outside swath. Classify manually.,,,
2022-10-23,LC90710162022296LGN01,2566,6163,63.32992,-150.17614,0.2392,0.1755,0.0958,0.0049,252.8147,252.9449,75.581,-167.512,17.696,-105.509,,,,,,,,,,Landsat null - outside swath. Classify manually.,,,
2022-10-23,LC90710162022296LGN01,2588,5139,63.2556,-153.6356,0.0524,0.3179,0.4287,0.1385,274.2138,268.5153,75.22,-170.969,5.19,-104.387,0.0385,0.1006,0.041,0.1472,0.032,269.3587,-0.1883,0.5174,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=269.36K NDSI=0.5174.,0.1171,9,Savannas
2022-10-23,LC90710162022296LGN01,2608,5164,63.18803,-153.55114,0.0598,0.19,0.2421,0.1581,275.9536,267.2482,75.158,-170.89,5.274,-107.211,,,,,,,,,,Landsat null - outside swath. Classify manually.,,,
2022-10-23,LC90710162022296LGN01,2630,4917,63.11371,-154.3856,0.1089,0.1523,0.1783,0.0823,272.7118,267.8308,75.03,-171.725,2.043,-118.494,,,,,,,,,,Landsat null - outside swath. Classify manually.,,,
2022-10-23,LC90710162022296LGN01,2650,5237,63.04614,-153.30452,0.0878,0.1516,0.1847,0.0556,268.3757,267.5816,75.035,-170.648,5.762,-110.831,0.1137,0.1194,0.0999,0.2842,0.081,268.9998,-0.4085,0.1913,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=269.0K NDSI=0.1913.,0.1618,9,Savannas
2022-10-23,LC90710162022296LGN01,2672,5624,62.97181,-151.99708,0.0996,0.128,0.0644,0.003,255.9958,255.8722,75.063,-169.333,10.346,-106.678,0.917,0.8315,0.8663,0.847,0.0444,259.925,-0.0092,0.8986,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=259.93K NDSI=0.8986.,-0.1415,9,Savannas
2022-10-23,LC90710162022296LGN01,2708,6030,62.85019,-150.62546,0.0978,0.7553,0.8332,0.0639,260.6182,258.3924,75.067,-167.967,14.961,-106.555,1.3709,1.3116,1.3682,1.23,0.0413,260.8103,0.0321,0.9389,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=260.81K NDSI=0.9389.,-0.0256,16,Barren
2022-10-23,LC90710162022296LGN01,2731,6145,62.77249,-150.23695,0.2132,0.0971,0.0995,0.0281,274.9005,274.5525,75.025,-167.585,16.115,-105.646,,,,,,,,,,Landsat null - outside swath. Classify manually.,,,
2022-10-23,LC90710162022296LGN01,2751,6197,62.70492,-150.06127,0.066,0.4021,0.4155,0.0571,269.6011,267.4201,74.978,-167.406,16.603,-106.092,,,,,,,,,,Landsat null - outside swath. Classify manually.,,,
2022-10-23,LC90710162022296LGN01,2772,6022,62.63398,-150.65249,0.0509,0.2347,0.2897,0.0529,271.7776,269.9403,74.849,-168.003,14.293,-106.878,0.3061,0.3806,0.3177,0.3204,0.016,270.1791,0.0858,0.9194,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=270.18K NDSI=0.9194.,0.0275,7,Open Shrublands
