viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction_occ,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,ground_truth_class,notes,modis_ndvi,modis_lc_type1,modis_lc_name
2024-11-21,LC08_L1TP_071019_20241121_20241127_02_T1,4064,4178,58.26899,-156.88345,0.134,0.271,0.4793,0.3075,269.3802,266.9007,81.8777,-152.4818,58.3477,-90.5514,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=268.79K NDSI=0.0517.,0.238,7,Open Shrublands
2024-11-21,LC08_L1TP_071019_20241121_20241127_02_T1,4022,4207,58.41088,-156.78547,0.0729,0.3038,0.4876,0.238,268.7964,266.1286,82.0261,-152.4039,58.5244,-91.1745,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=268.03K NDSI=0.0769.,0.0619,9,Savannas
2024-11-21,LC08_L1TP_071019_20241121_20241127_02_T1,4056,4181,58.29601,-156.87331,0.1515,0.3227,0.5061,0.2025,268.9793,266.8178,81.9043,-152.4771,58.3609,-90.7115,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=268.95K NDSI=0.2729.,0.0865,10,Grasslands
2024-11-21,LC08_L1TP_071019_20241121_20241127_02_T1,4065,4349,58.26561,-156.30574,0.1624,0.2381,0.3184,0.1394,268.5762,266.3019,82.0129,-151.9627,59.3425,-90.5914,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=270.31K NDSI=0.0359.,0.0312,10,Grasslands
2024-11-21,LC08_L1TP_071019_20241121_20241127_02_T1,4106,4213,58.12709,-156.7652,0.5232,0.2335,0.2158,0.1492,268.2292,265.7218,81.778,-152.379,58.519,-90.9127,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=268.13K NDSI=0.1234.,0.0625,10,Grasslands
2024-11-21,LC08_L1TP_071020_20241121_20241127_02_T1,4027,4167,58.39318,-156.92128,0.0768,0.3615,0.5212,0.2057,267.6221,265.6695,81.9812,-152.5215,58.2953,-90.6355,ice_covered_river_snow_covered_land,NDSI=0.059. No thermal — ice status unknown.,0.1831,9,Savannas
2024-11-21,LC08_L1TP_071020_20241121_20241127_02_T1,4108,4174,58.11953,-156.89764,0.1073,0.234,0.4069,0.3564,269.7418,267.4096,81.7394,-152.5004,58.2803,-90.9687,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=269.45K NDSI=-0.024.,0.1842,10,Grasslands
2024-11-21,LC08_L1TP_071020_20241121_20241127_02_T1,4198,4168,57.81547,-156.91791,0.2618,0.1825,0.2911,0.1975,269.8241,268.3302,81.4563,-152.5249,58.1719,-91.5817,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=269.74K NDSI=0.0024.,0.104,9,Savannas
2024-11-21,LC08_L1TP_071020_20241121_20241127_02_T1,4224,4207,57.72764,-156.78615,0.1598,0.1771,0.2539,0.1445,269.087,267.5008,81.4114,-152.3974,58.4056,-91.0506,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=269.06K NDSI=0.0279.,0.1437,9,Savannas
2024-11-21,LC08_L1TP_071020_20241121_20241127_02_T1,4186,4150,57.85601,-156.97872,0.2553,0.2002,0.3082,0.2026,270.1309,267.795,81.4811,-152.5713,58.089,-90.7938,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=268.86K NDSI=0.0846.,0.1464,9,Savannas
