viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction_occ,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,ground_truth_class,notes,modis_ndvi,modis_lc_type1,modis_lc_name
2024-11-27,LC09_L1TP_073019_20241127_20241128_02_T1,3687,3888,59.54223,-157.86304,0.3176,0.2227,0.3299,0.1079,264.1819,263.3555,83.2009,-156.9753,50.5353,-94.6612,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=260.29K NDSI=0.1331.,0.0338,7,Open Shrublands
2024-11-27,LC09_L1TP_073019_20241127_20241128_02_T1,3776,4325,59.24155,-156.38669,0.2747,0.2352,0.2855,0.0696,267.48,266.4838,83.2242,-155.6293,53.5172,-92.964,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=260.13K NDSI=0.1206.,0.0507,7,Open Shrublands
2024-11-27,LC09_L1TP_073019_20241127_20241128_02_T1,3793,4074,59.18412,-157.23466,0.0639,0.2127,0.3832,0.1048,266.0196,265.1176,82.9945,-156.4069,51.7275,-93.769,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=261.34K NDSI=0.0426.,0.3395,9,Savannas
2024-11-27,LC09_L1TP_073019_20241127_20241128_02_T1,3826,3813,59.07264,-158.11642,0.0669,0.1588,0.2779,0.1034,266.3397,265.2353,82.7142,-157.2145,49.7358,-94.7576,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=262.16K NDSI=0.0278.,0.4409,9,Savannas
2024-11-27,LC09_L1TP_073019_20241127_20241128_02_T1,3843,4050,59.0152,-157.31574,0.7007,0.2353,0.2786,0.0664,266.1352,264.3731,82.8213,-156.4825,51.4825,-94.0278,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=260.5K NDSI=0.113.,0.2626,11,Permanent Wetlands
2024-11-27,LC09_L1TP_073019_20241127_20241128_02_T1,3925,3862,58.73818,-157.95088,0.0679,0.2065,0.3584,0.089,266.6362,265.6279,82.4321,-157.0666,49.9416,-94.4636,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=261.56K NDSI=0.0577.,0.4482,7,Open Shrublands
2024-11-27,LC09_L1TP_073018_20241127_20241128_02_T1,3700,4350,59.49818,-156.30169,0.0567,0.2505,0.4118,0.1207,265.2764,264.3818,83.4803,-155.5487,53.7781,-93.1143,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=261.06K NDSI=0.0367.,0.0299,10,Grasslands
2024-11-27,LC09_L1TP_073018_20241127_20241128_02_T1,3711,4394,59.46101,-156.15304,0.2896,0.2043,0.2779,0.0543,264.8337,264.307,83.4776,-155.4113,54.0647,-92.714,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=261.77K NDSI=0.1044.,0.0482,9,Savannas
2024-11-27,LC09_L1TP_073018_20241127_20241128_02_T1,3732,4382,59.39007,-156.19358,0.2736,0.2004,0.2615,0.0599,265.4996,264.4241,83.4028,-155.4549,53.9484,-93.2452,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=262.03K NDSI=0.0848.,0.3126,7,Open Shrublands
2024-11-27,LC09_L1TP_073018_20241127_20241128_02_T1,3771,4423,59.25831,-156.05507,0.0569,0.2024,0.3119,0.0617,265.2392,264.82,83.3116,-155.3258,54.1894,-92.7587,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=260.72K NDSI=0.0891.,0.106,7,Open Shrublands
2024-11-27,LC09_L1TP_073018_20241127_20241128_02_T1,3785,4258,59.21101,-156.6125,0.3886,0.1854,0.2295,0.0659,267.1122,266.189,83.1503,-155.8357,53.0462,-93.2973,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=261.05K NDSI=0.1166.,-0.085,9,Savannas
2024-11-27,LC09_L1TP_073018_20241127_20241128_02_T1,3801,4255,59.15696,-156.62264,0.2452,0.1944,0.2062,0.0884,270.2784,265.9968,83.0968,-155.8461,53.0041,-93.32,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=260.6K NDSI=0.0938.,0.056,9,Savannas
