viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction_occ,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,ground_truth_class,notes,modis_ndvi,modis_lc_type1,modis_lc_name
2024-11-28,LC08_L1TP_072018_20241128_20241203_02_T1,3686,4432,59.54466,-156.02439,0.1234,0.3897,0.5491,0.0987,260.9461,259.5782,83.9486,-154.5076,56.7815,-91.8491,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=257.23K NDSI=0.1732.,0.0318,7,Open Shrublands
2024-11-28,LC08_L1TP_072018_20241128_20241203_02_T1,3736,4163,59.37574,-156.93318,0.1387,0.2163,0.427,0.1333,260.5711,259.6064,83.5986,-155.3386,55.0441,-92.9473,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=256.39K NDSI=-0.0077.,0.3321,9,Savannas
2024-11-28,LC08_L1TP_072018_20241128_20241203_02_T1,3748,4339,59.3352,-156.33858,0.1456,0.2289,0.3367,0.1153,261.5676,259.6412,83.6894,-154.7969,56.1544,-92.2006,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=258.95K NDSI=0.0291.,0.3404,9,Savannas
2024-11-28,LC08_L1TP_072019_20241128_20241203_02_T1,3703,4378,59.48966,-156.20777,0.1772,0.2373,0.3878,0.1318,262.3723,260.4724,83.8565,-154.6724,56.4398,-91.6888,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=259.67K NDSI=0.0687.,0.0279,9,Savannas
2024-11-28,LC08_L1TP_072019_20241128_20241203_02_T1,3747,4298,59.34101,-156.47804,0.2275,0.2078,0.3605,0.129,262.1922,259.0822,83.6614,-154.924,55.8961,-92.3536,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=258.11K NDSI=0.0293.,0.0959,9,Savannas
2024-11-28,LC08_L1TP_072019_20241128_20241203_02_T1,3764,4112,59.28358,-157.10642,0.2733,0.2332,0.3783,0.1566,261.9948,259.8738,83.4755,-155.4948,54.6849,-92.699,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=256.62K NDSI=0.0167.,0.1088,9,Savannas
2024-11-28,LC08_L1TP_072019_20241128_20241203_02_T1,3809,4389,59.13155,-156.17061,0.0799,0.212,0.3649,0.0793,260.9956,260.1114,83.5367,-154.648,56.4144,-92.0966,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=259.33K NDSI=0.0355.,0.1229,9,Savannas
2024-11-28,LC08_L1TP_072019_20241128_20241203_02_T1,3915,3962,58.77345,-157.61318,0.0596,0.2258,0.4373,0.1883,263.0989,261.0508,82.8972,-155.9637,53.4985,-93.3292,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=258.09K NDSI=-0.0028.,0.4066,9,Savannas
2024-11-28,LC08_L1TP_072019_20241128_20241203_02_T1,3934,4231,58.70926,-156.70439,0.0692,0.2288,0.3895,0.0947,262.3677,261.2039,83.0323,-155.1391,55.2856,-92.5078,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=258.98K NDSI=0.0364.,0.2839,9,Savannas
2024-11-28,LC08_L1TP_072019_20241128_20241203_02_T1,3949,4182,58.65858,-156.86993,0.1124,0.2416,0.4566,0.1109,261.0914,260.6283,82.9487,-155.2893,54.9491,-92.6989,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=258.41K NDSI=0.0465.,0.2731,10,Grasslands
2024-11-28,LC08_L1TP_072019_20241128_20241203_02_T1,3980,4160,58.55385,-156.94426,0.1184,0.2415,0.4206,0.1204,262.6133,261.1449,82.8354,-155.3601,54.7655,-92.7997,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=259.23K NDSI=0.0183.,0.1586,10,Grasslands
2024-11-28,LC08_L1TP_072019_20241128_20241203_02_T1,3998,4086,58.49304,-157.19426,0.0701,0.2451,0.4834,0.1333,263.0544,261.1723,82.7271,-155.5826,54.2592,-92.523,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=258.87K NDSI=0.0105.,0.3341,9,Savannas
2024-11-28,LC08_L1TP_072019_20241128_20241203_02_T1,4054,4134,58.30385,-157.03209,0.0839,0.2504,0.4481,0.0955,263.1279,261.7992,82.5835,-155.4432,54.5072,-93.1668,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=259.75K NDSI=0.0554.,0.2799,9,Savannas
2024-11-28,LC08_L1TP_072019_20241128_20241203_02_T1,4105,4163,58.13155,-156.93412,0.102,0.2895,0.4842,0.0962,265.9801,262.621,82.4486,-155.3517,54.6561,-92.6482,ice_covered_river_snow_covered_land,Landsat confirmed at 30m. ST_B10=260.21K NDSI=0.0978.,0.1716,10,Grasslands
2024-11-28,LC08_L1TP_072019_20241128_20241203_02_T1,4154,4020,57.96601,-157.41723,0.0963,0.2481,0.4379,0.0655,263.681,262.4301,82.1888,-155.7952,53.6037,-93.1658,ice_covered_river_snow_free_land,Landsat confirmed at 30m. ST_B10=261.03K NDSI=0.0653.,0.3398,9,Savannas
