viirs_date,landsat_scene,row_shared_grid,col_shared_grid,lat,lon,water_fraction,I1,I2,I3,I4,I5,SZA,SAA,VZA,VAA,LS_SR_B2,LS_SR_B3,LS_SR_B4,LS_SR_B5,LS_SR_B6,LS_ST_B10,LS_NDWI,LS_NDSI,ground_truth_class,notes,modis_ndvi,modis_lc_type1,modis_lc_name
2023-09-25,LC80700152023268LGN00,1924,5648,65.49831,-151.91723,0.0545,0.3265,0.4708,0.4026,293.002,269.6911,68.149,157.728,54.637,46.063,,,,,,,,,,Landsat null — outside swath. Classify manually.,,,
2023-09-25,LC80700152023268LGN00,2015,6432,65.19088,-149.26858,0.3808,0.0754,0.1529,0.085,277.5381,276.3671,67.48,160.433,52.335,48.436,,,,,,,,,,Landsat null — outside swath. Classify manually.,,,
2023-09-25,LC80700152023268LGN00,2040,5702,65.10642,-151.7348,0.7911,0.137,0.111,0.0511,277.1377,275.788,67.761,157.837,55.477,46.148,,,,,,,,,,Landsat null — outside swath. Classify manually.,,,
2023-09-25,LC80700152023268LGN00,2069,5715,65.00845,-151.69088,0.1152,0.1153,0.1838,0.1102,278.977,276.5988,67.663,157.861,55.692,46.336,,,,,,,,,,Landsat null — outside swath. Classify manually.,,,
2023-09-25,LC80700152023268LGN00,2084,5999,64.95777,-150.73142,0.6557,0.1448,0.0975,0.0304,276.6378,275.6441,67.472,158.855,54.737,47.271,0.0419,0.0775,0.0858,0.1004,0.113,279.9512,-0.1287,-0.1862,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=279.95K NDSI=-0.1862.,0.0313,17,Unclassified
2023-09-25,LC80700152023268LGN00,2101,6562,64.90034,-148.82939,0.5376,0.073,0.1115,0.05,276.6136,275.9284,67.144,160.847,52.581,48.683,0.0059,0.0145,0.0128,0.0089,0.0029,278.1191,0.2422,0.665,ice_free_river_snow_land,Landsat confirmed at 30m. ST_B10=278.12K NDSI=0.665.,0.4154,17,Unclassified
2023-09-25,LC80700152023268LGN00,2117,6477,64.84628,-149.11655,0.3396,0.0978,0.174,0.1139,277.9627,275.5739,67.134,160.527,53.1,48.706,0.0311,0.0441,0.0466,0.1514,0.1469,277.7773,-0.5491,-0.5384,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=277.78K NDSI=-0.5384.,0.2499,8,Woody Savannas
2023-09-25,LC80700152023268LGN00,2139,6911,64.77196,-147.65034,0.1395,0.0919,0.1547,0.1192,279.1832,277.0727,66.869,162.058,51.402,50.59,0.0159,0.0254,0.0212,0.0907,0.0517,278.854,-0.5626,-0.3411,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=278.85K NDSI=-0.3411.,0.5036,8,Woody Savannas
2023-09-25,LC80700152023268LGN00,2164,6203,64.6875,-150.04223,0.095,0.0982,0.1701,0.1375,277.953,276.3004,67.118,159.53,54.64,47.396,0.0248,0.0362,0.0395,0.0877,0.1139,278.8027,-0.4156,-0.5175,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=278.8K NDSI=-0.5175.,0.4932,8,Woody Savannas
2023-09-25,LC80700152023268LGN00,2193,6476,64.58953,-149.11993,0.0755,0.1078,0.2265,0.137,277.8001,275.5353,66.894,160.473,53.797,48.861,0.0315,0.0499,0.0626,0.1753,0.1686,278.1977,-0.557,-0.5432,ice_free_river_snow_free_land,Landsat confirmed at 30m. ST_B10=278.2K NDSI=-0.5432.,0.4633,8,Woody Savannas
